MUESTRA,ACIDEZ,PH,AW,SOLUBILIDAD,CRA,CRAC,L,C,H,AE,HUMEDAD,FRUCTUOSA,GLUCOSA,SACAROSA,EXTRACTO ETEREO,FDT,FDI,FDS,PROTEINA,CENIZA
PiSAC80,0.3697131184,4,0.318,60.6852842147,11.2204944179,2.6238604836,66.5237,31.6423,83.878,11.9707089523,4.4823066841,3.4056631313,6.0236218648,12.0302225062,0.8751284516,35.4775847645,3.543723242,39.0213080065,6.884,3.6631716907
PiSAC80,0.3555012768,4,0.32,59.0963614554,11.6276849642,1.7247303236,66.5551,31.6223,83.8206,11.9813935615,4.412991848,3.2983675403,5.8998968679,12.2823660492,0.6200749257,35.7879599326,3.1835763166,38.9715362491,6.8842,3.6876564606
PiSAC80,0.3697131184,4,0.321,59.04,10.9656549521,1.3957006369,66.1585,31.6821,83.8203,11.9872903522,4.4193387606,3.5028707302,6.472191614,11.4829206055,0.7763043913,35.4775847645,3.543723242,39.0213080065,6.9154,3.6683834524
PiSAC80,0.3697131184,4,0.318,60.852842147,11.2204944179,1.6238604836,65.949,31.2977,83.9532,11.9720343278,4.4823066841,3.4751664605,6.1857962996,11.786724448,0.8751284516,35.7879599326,3.1835763166,38.9715362491,6.894,3.6731716907
PiSAC80,0.3555012768,4,0.319,59.9636145542,11.6276849642,1.7247303236,66.3208,31.2457,83.7597,11.9874050609,4.42991848,2.5550734467,6.4341394977,11.7481234194,0.7200749257,35.4775847645,3.543723242,39.0213080065,6.8842,3.6776564606
PiSAC80,0.3697131184,4,0.321,59.4,10.9656549521,1.9570063694,67.2019,31.2586,84.0543,11.9477554736,4.4193387606,3.2708925361,6.3330046976,11.9071093032,0.7563043913,35.7879599326,3.1835763166,38.9715362491,6.905,3.6683834524
PiSAC80,0.3697131184,4,0.318,60.2842146967,11.2204944179,2.2386048355,67.2072,31.7202,83.8078,11.9218544596,4.4523066841,3.22032092,6.1857962996,11.9493716946,0.7951284516,35.4775847645,3.543723242,39.0213080065,6.898,3.6631716907
PiSAC80,0.3555012768,4,0.319,59.6361455418,11.6276849642,1.9247303236,67.313,31.6392,83.8332,11.9084393437,4.462991848,2.8802646127,6.5502791998,10.7351007931,0.7200749257,35.7879599326,3.1835763166,38.9715362491,6.888,3.6776564606
PiSAC80,0.3697131184,4,0.321,59.04,10.9656549521,1.5700636943,68.0258,31.6602,83.9545,11.9004397451,4.4793387606,3.4332772719,6.1242243229,12.2787478385,0.7763043913,35.7879599326,3.1835763166,38.9715362491,6.8954,3.6683834524
PiLIO50,0.4268764165,4.1,0.393,37.6152186703,6.2834394904,1.8417266187,68.0678,30.2308,85.6527,11.5964068153,5.3397734843,2.5215196667,5.5057034924,12.074590338,0.6295593085,44.4518803376,1.550117365,46.0019977026,6.3335,3.0379746835
PiLIO50,0.4123448567,4.1,0.393,37.9556259905,6.8959078268,1.2947033055,67.5157,30.0564,85.7411,11.5638282352,5.5579563208,2.2390212938,5.7245080501,11.12868484,0.7146519677,44.0946512201,1.2496918906,45.3443431107,6.2986,2.9285643054
PiLIO50,0.4268764165,4.1,0.395,38.5060914719,6.2189984102,0.9064,70.227,30.5969,85.2227,11.7111958524,5.4322138268,2.6560915728,5.8434014602,11.384663666,0.5537869744,44.4518803376,1.550117365,46.0019977026,6.3505,3.0522917152
PiLIO50,0.4268764165,4.1,0.392,37.9152186703,6.2834394904,1.8417266187,70.2011,29.5917,87.7373,11.2546049541,5.3977348434,2.264576478,5.7307649647,12.2764379165,0.6295593085,44.0946512201,1.2496918906,45.3443431107,6.3035,3.0379746835
PiLIO50,0.4123448567,4.1,0.392,37.5625990492,6.8959078268,1.2947033055,70.3284,29.5909,87.5446,11.2568934545,5.5579563208,2.9642941506,5.7896370129,12.0131423342,0.6146519677,44.4518803376,1.550117365,46.0019977026,6.32986,2.9285643054
