MUESTRA,HUMEDAD,FRUCTOSA,GLUCOSA,SACAROSA,ETEREO,FDT,FDI,FDS,PROTEINA,CENIZA
PiLIO50,5.3397734843,2.5215196667,5.5057034924,12.074590338,0.6295593085,44.4518803376,1.550117365,46.0019977026,6.3335,3.0379746835
PiLIO50,5.5579563208,2.2390212938,5.7245080501,11.12868484,0.7146519677,44.0946512201,1.2496918906,45.3443431107,6.2986,2.9285643054
PiLIO50,5.4322138268,2.6560915728,5.8434014602,11.384663666,0.5537869744,,,,6.3505,3.0522917152
PiLIO50,5.3977348434,2.264576478,5.7307649647,12.2764379165,0.6295593085,,,,6.3035,3.0379746835
PiLIO50,5.5579563208,2.9642941506,5.7896370129,12.0131423342,0.6146519677,,,,6.32986,2.9285643054
PiLIO50,5.4022138268,2.3209395163,5.5702548392,11.7013244512,0.5537869744,,,,6.2955,3.0522917152
PiLIO50,5.3597734843,2.4725477872,6.424002662,10.4476108482,0.6295593085,,,,6.3035,3.0379746835
PiLIO50,5.4579563208,2.7327086701,6.2991250701,11.0159068977,0.6146519677,,,,6.3586,2.9285643054
PiLIO50,5.5322138268,2.7619180244,6.8931903635,10.0117752156,0.5537869744,,,,6.3505,3.0522917152
PiLIO60,5.3359946773,3.1549034391,5.613872296,13.6225791493,0.6447324693,40.7867350495,2.1417118956,42.9284469452,7.0847,2.8110445775
PiLIO60,4.8382299481,2.6936339677,5.4104889178,14.9018230761,0.6416404829,40.0268376323,2.1265344665,42.1533720988,7.0173,3.1428665851
PiLIO60,4.8796724695,3.0908596541,5.5542515588,14.7580604351,0.6575734887,,,,7.1645,3.1754485238
PiLIO60,5.3359946773,2.922925245,6.5417850722,13.6727910228,0.6447324693,,,,7.0847,2.9110445775
PiLIO60,4.8382299481,2.8794018275,6.2696652695,12.1664090703,0.6516404829,,,,7.0573,3.0428665851
PiLIO60,4.8796724695,2.5331105435,6.3676356783,12.0684386615,0.6575734887,,,,7.0645,3.0754485238
PiLIO60,5.3359946773,2.7528517462,6.8242963456,14.0801448353,0.6427324693,,,,7.0747,2.8110445775
PiLIO60,4.8382299481,3.1161636563,7.0402215939,15.0522383914,0.6416404829,,,,7.0273,3.1286658515
PiLIO60,4.8796724695,2.7715738151,6.9520309862,15.1404289991,0.6545734887,,,,7.1245,3.1454485238
PiLIO80,4.9228410492,3.2917918475,6.5372204295,13.7244727645,0.6453329785,36.8809167912,4.4915794718,41.3724962631,7.547,3.0696930307
PiLIO80,4.8719053458,3.5281801786,6.2439504476,14.818072525,0.4804665496,37.5278782772,4.3217524905,41.8496307677,7.8252,3.3307924303
PiLIO80,4.8477377224,3.4401403949,6.5548621038,14.0878777507,0.9884897336,,,,7.887,3.2784700473
PiLIO80,4.9028410492,3.2686102148,7.3949408405,18.196635503,0.6453329785,,,,7.747,3.2396930307
PiLIO80,4.8919053458,4.1781081062,6.8706666636,19.4466773216,0.4804665496,,,,7.8252,3.2307924303
PiLIO80,4.8877377224,3.8585358484,7.8797810397,17.4544906,0.9884897336,,,,7.887,3.2784700473
PiLIO80,4.9228410492,3.4772449093,7.0008530841,17.6956283793,0.6453329785,,,,7.647,3.1696930307
PiLIO80,4.9019053458,3.806720719,6.8010315285,17.1127160247,0.4804665496,,,,7.7252,3.2907924303
PiLIO80,4.8477377224,3.4168962031,6.1364666504,19.8505398464,0.9884897336,,,,7.887,3.2084700473
